it global_time dt rho W_vel1 ye eps press cs2 temp ent leaktau1 leaktau2 leaktau3 chi1 chi2 chi3 zeta1 zeta2 zeta3 alp psi beta1 X1
       0  0.00000000E+00  1.60555019E+00   3.71471370E-09  1.43164050E-06  4.46447026E-01  1.88885329E-03  2.53237543E-12  8.93989290E-04  6.92181634E-01  1.06073337E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95368807E-01  1.00232148E+00 -5.42657319E-09 -2.74861369E-09
      13  2.03001708E+01  1.60513598E+00   3.71255773E-09 -6.58789664E-06  4.46447025E-01  1.88845695E-03  2.53044354E-12  8.93831076E-04  6.92091868E-01  1.06073147E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95368542E-01  1.00232162E+00 -5.43218208E-09 -2.75145259E-09
      26  4.06003416E+01  1.60475881E+00   3.70895097E-09 -6.62604336E-06  4.46447024E-01  1.88779795E-03  2.52721709E-12  8.93570060E-04  6.91941105E-01  1.06073176E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95366670E-01  1.00232256E+00 -5.43905324E-09 -2.75493610E-09
      39  6.09005124E+01  1.60438767E+00   3.70542953E-09 -6.53418987E-06  4.46447022E-01  1.88714748E-03  2.52406254E-12  8.93313658E-04  6.91788876E-01  1.06072320E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95368010E-01  1.00232188E+00 -5.44400043E-09 -2.75741690E-09
      52  8.12006832E+01  1.60405281E+00   3.70193342E-09 -6.42026038E-06  4.46447021E-01  1.88650763E-03  2.52093677E-12  8.93060171E-04  6.91642755E-01  1.06072337E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95366138E-01  1.00232283E+00 -5.45165246E-09 -2.76129813E-09
      65  1.01500854E+02  1.60372863E+00   3.69854674E-09 -6.22827892E-06  4.46447020E-01  1.88588002E-03  2.51790374E-12  8.92812917E-04  6.91495584E-01  1.06071365E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95367476E-01  1.00232215E+00 -5.45741712E-09 -2.76419532E-09
      79  1.23404465E+02  1.60341111E+00   3.69496857E-09 -6.10956330E-06  4.46447018E-01  1.88521932E-03  2.51470246E-12  8.92552034E-04  6.91342374E-01  1.06070728E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95367188E-01  1.00232230E+00 -5.46531412E-09 -2.76818778E-09
      93  1.45307502E+02  1.60312002E+00   3.69145275E-09 -6.03377920E-06  4.46447005E-01  1.88457019E-03  2.51155829E-12  8.92295564E-04  6.91192377E-01  1.06070184E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95366899E-01  1.00232244E+00 -5.47366298E-09 -2.77241039E-09
     107  1.67210050E+02  1.60285260E+00   3.68801689E-09 -5.82230609E-06  4.46446978E-01  1.88393593E-03  2.50848696E-12  8.92044808E-04  6.91046387E-01  1.06069743E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95366610E-01  1.00232259E+00 -5.48245461E-09 -2.77685853E-09
     121  1.89112162E+02  1.60261106E+00   3.68467438E-09 -5.64898822E-06  4.46446952E-01  1.88331853E-03  2.50549995E-12  8.91800667E-04  6.90904459E-01  1.06069323E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.95366320E-01  1.00232273E+00 -5.49168104E-09 -2.78152813E-09
