 it=       29531  global_time=   48477.822170402615     
 it=       29531  global_time=   48477.822170402615     
 it=       29528  global_time=   48459.317291745472     
 it=       29492  global_time=   48390.892460370225     
 it=       29528  global_time=   48459.317291745472     
 it=       29492  global_time=   48390.892460370225     
 it=       29492  global_time=   48390.892460370225     
 it=       29492  global_time=   48390.892460370225     
 it=       29492  global_time=   48390.892460370225     
 it=      192639  global_time=   51540.237673023061     
 it=       29492  global_time=   48390.892460370225     
 it=       29492  global_time=   48390.892460370225     
 it=       48017  global_time=   59363.361969297075     
 it=       48017  global_time=   59363.361969297075     
 it=       48017  global_time=   59363.361969297075     
 it=       48017  global_time=   59363.361969297075     
